Road Name,Division Name,Date Type,near_junction,near_bus_stop,near_highway,footpath_violation,both_sides_banned,immediate_tow_mention,near_landmark,zero_tolerance,description_length,Yard Name,narrow_road,residential_society,no_parking_explicit,meters_distance_mention,market_area,Towed
FC Road (Fergusson College Road) & JM Road (Jangli Maharaj Road):,Deccan Traffic Division,Odd,0,0,0,0,0,0,1,0,65,Deccan Traffic Yard,0,0,0,0,0,0
Goodluck Cafe Lane: The stretch from Goodluck Hotel to Suvarnasmruti Mangal Karyalaya has been declared a strict no-parking zone on both sides due to heavy resident complaints about double-parking and blocked gates.,Deccan Traffic Division,Even,0,0,0,0,1,0,0,1,215,Deccan Traffic Yard,1,0,1,0,0,1
akatdar Path Road (Deccan/Chaturshringi border): The 300-meter road from Chaitrali Co-Op Housing Society to Kshitij Bungalow is a no-parking zone on both sides.,Deccan Traffic Division,Both,0,0,0,0,1,0,0,0,160,Deccan Traffic Yard,0,1,1,0,0,0
"Near Junctions and Bus Stands: Parking within 8 meters of major intersections like Khanduji Baba Chowk, Goodluck Chowk, or near the Deccan PMPML Bus Depot/Riverbed area is illegal.",Deccan Traffic Division,Both,1,1,0,0,0,0,0,0,180,Deccan Traffic Yard,0,0,0,1,0,1
"The Riverbed Road: While parts are used for parking, parking haphazardly or leaving abandoned vehicles near the Kakasaheb Gadgil Bridge (Z-Bridge area) can result in nighttime sweeps by the traffic police.",Deccan Traffic Division,Both,0,0,0,0,0,0,0,0,205,Deccan Traffic Yard,0,0,0,0,0,0
Footpaths and Cycle Tracks: Any vehicle parked on or encroaching onto a pedestrian footpath or designated cycle track on FC/JM road will be towed immediately.,Deccan Traffic Division,Both,0,0,0,1,0,1,0,0,158,Deccan Traffic Yard,0,0,0,0,0,1
The District Court & PMC Metro Station Area: The entire periphery around the Pune District Court and the Pune Municipal Corporation (PMC) building is a zero-tolerance zone.,Shivajinagar Traffic Division,Odd,0,0,0,0,0,0,1,1,172,Shivajinagar Traffic Yard,0,0,0,0,0,1
Old Mumbai-Pune Highway Stretch (Wakdewadi): The stretch from (COEP) Tech University flyover down through Wakdewadi towards Khadki,Shivajinagar Traffic Division,Even,0,0,1,0,0,1,0,0,130,Shivajinagar Traffic Yard,0,0,0,0,0,1
Modern College Road: The lane leading from Jansanchar Chowk to Modern College faces severe bottlenecks due to students and shoppers.,Shivajinagar Traffic Division,Both,1,0,0,0,0,0,1,0,132,Shivajinagar Traffic Yard,1,0,0,0,0,0
Simla Office Chowk & University Road (Ganeshkhind Road): The areas surrounding the Simla Office (IMD Pune),Shivajinagar Traffic Division,Both,1,0,0,0,0,0,0,0,106,Shivajinagar Traffic Yard,0,0,0,0,0,0
Shivajinagar Railway Station & ST Bus Stand Periphery:,Shivajinagar Traffic Division,Both,0,1,0,0,0,0,1,0,54,Shivajinagar Traffic Yard,0,1,0,0,0,0
Shivaji Road (Core Stretches): Most of the central stretch of Shivaji Road enforces a strict No Parking and No Halting restriction to prevent bottlenecks.,Faraskhana Traffic Division,Odd,0,0,0,0,0,0,0,1,154,Faraskhana Traffic Yard,0,0,1,0,0,1
"P1/P2 two-wheeler parking is occasionally permitted on specific segments (e.g., portions between Maharashtra Tea Depot to Mumbai Tea Depot, and Rameshwar Chowk to Gotirambhaiyya Chowk),",Faraskhana Traffic Division,Even,1,0,0,0,0,0,0,0,185,Faraskhana Traffic Yard,0,0,0,0,0,0
Juna Bazaar Area: The entire stretch between Juna Bazaar Chowk and Kumbharve Chowk is a designated permanent No-Parking zone,Faraskhana Traffic Division,Both,1,0,0,0,0,0,0,1,124,Faraskhana Traffic Yard,0,0,1,0,1,1
"Dagdusheth Halwai Ganpati Temple Vicinity: Due to extremely high security protocols and massive pedestrian crowds, parking is strictly banned on the immediate roads surrounding the temple and the Faraskhana Police Station",Faraskhana Traffic Division,Both,0,0,0,0,0,0,1,1,221,Faraskhana Traffic Yard,0,0,0,0,0,1
"Laxmi Road Intersection Corners: No parking is allowed within 50 meters of major busy junctions such as Dulya Maruti Chowk and Hamjekhan Chowk to prevent bottlenecking,",Faraskhana Traffic Division,Both,1,0,0,0,0,0,0,0,168,Faraskhana Traffic Yard,0,0,1,1,0,0
"Bajirao Road (Core Stretch): From Puram Chowk all the way to Shaniwar Wada, parking is strictly prohibited on the main thoroughfare to keep the northbound traffic flowing.",Vishrambaug Traffic Division,Odd,1,0,0,0,0,0,0,1,171,Vishrambaug Traffic Yard,0,0,0,0,0,1
"Tilak Road (Specific Segments): No parking is allowed near major junctions, including Alka Talkies Chowk and the corners of S.P. College.",Vishrambaug Traffic Division,Even,1,0,0,0,0,0,1,0,137,Vishrambaug Traffic Yard,0,0,1,0,0,0
